"Parameter","Mean","SE","SD","X2.50.","X25.","X50.","X75.","X97.50.","Neff","Rhat","lakeNum","parm","Lake","County","WBIC","N","Latitude","Longitude","Lake.area..ha.","Maximum.depth..m.","hansenAvgWLY","hansenWLYSD","treatyAvgWLY","treatyWLYSD","bassMCPE","bassSDCPE","panMCPE","panSDCPE","yoyMWLYCPE","yoySDWLYCPE","avgdurStrat","gdd10","gdd5","peak_temp","coef_var.0.30","coef_var.30.60","avgIceCover","iceCoverSD","Panfish","Catfish","Largemouth.Bass","Musky","Northern.Pike","Rainbow.Smelt","Smallmouth.Bass","Sturgeon","Trout","Walleye","Cisco","Landlock","publicaccess","accessscore","mroad_dist","Road_dist","Area","Length","MaxDepth","MeanDepth","ripDeveloped","ripForest","ripShrubScrub","ripGrassland","ripPasture","ripCultivated","ripWetlands","Secchi_satellite","Secchi","Calcium","Conductance","Alkalinity","pH","totalP","Color","Dissolved.OC","MEI","HUC10","wshedDeveloped","wshedBarren","wshedForest","wshedShrubScrub","wshedGrassland","wshedPasture","wshedCultivated","wshedWetlands","catch","harvest","release","cpue","avgL","meanNSto","sdNSto","stoLen","stoLenSD","meanLBsto","sdLBsto","sumNSto","sumLBSto"
"b[11]",-0.05325832,0.00508515,0.284003164,-0.597351308,-0.248778218,-0.052088949,0.133422427,0.513093684,3119.168641,0.999252281,11,"b","Big St Germain","Vilas",1591100,8,45.92,-89.53,654.38,12.8,2.976671304875,0.939530869973275,NA,NA,NA,NA,NA,NA,NA,NA,74.9705882352941,1407.98476220418,2312.77382546368,25.7003307905629,0.327511940251696,0.138744340725003,144.714285714286,12.5921811140916,1,0,1,1,1,0,1,0,1,1,1,0,1,3,190.83974,10.688806,6563022.921,12994.03043,12.6,6.3,0.107883817,0.538589212,0.038174274,0.002489627,0,0,0.312863071,1.802506155,2.263333333,9.865,84.54129193,35.445,7.679089027,0.043,4,NA,13.41925269,707000105,0.069134014,0.000903114,0.554106114,0.002744244,0.014973365,0.000828945,0.003717164,0.353593041,0.776119402985075,0.37910447761194,2.14754098360656,0.00178495827511306,19.4405405405405,73898.5333333333,173981.257435091,3.17333333333333,2.44086245491415,53.3636363636364,33.0764953623346,1108478,587
"b[12]",0.308413701,0.009724965,0.558928334,-0.774669494,-0.08127406,0.311372417,0.697861445,1.384082383,3303.20969,0.999277138,12,"b","Bony","Bayfield",2742500,6,46.31,-91.5,77.3,16.76,2.46,0.443395985547907,1.98,NA,0.6436,NA,21.22271,NA,36.54039,NA,147.617647058824,1494.24119255682,2413.07716778171,26.430425112895,0.381033965287178,0.138990539312851,146.628571428571,12.1922967828189,1,0,1,1,1,0,0,0,0,1,1,0,1,1,144.637785,6.950875,769771.7189,4030.558047,16.5,6.9,0.02484472,0.900621118,0,0.00621118,0,0,0.068322981,4.17946143,6.3,NA,113,55,7.8,NA,4,NA,16.37681159,703000101,0.058667964,1.21e-05,0.664386862,0.162917754,0.041490012,0.004845541,0.00309488,0.064584935,0.3125,0.125,NA,0.000924659914978753,15.2666666666667,8660.66666666667,1714.70386170129,1.56666666666667,0.152752523165195,9,2.64575131106459,25982,27
"b[13]",0.107721125,0.001572405,0.087838192,-0.06355207,0.050163485,0.108117547,0.165621571,0.282829938,3120.599216,0.999840158,13,"b","Buckskin","Oneida",2272600,7,45.88,-89.94,256.57,6.71,7.23333333333333,3.11513509605389,NA,NA,NA,NA,NA,NA,NA,NA,65.9117647058823,1437.12172148857,2336.22271245783,26.3495547163691,0.312154182149237,0.137103375256968,149.542857142857,11.5792483174271,1,0,1,1,1,0,0,0,0,1,0,0,1,3,810.38756,28.437495,2596480.46,9893.179392,6.6,NA,0.040595399,0.585926928,0,0,0,0,0.373477673,1.403686745,3.6,NA,56,26,7.4,NA,4,NA,NA,705000302,0.02741658,5.17e-05,0.455477526,0.026198571,0.004064511,0.005180158,0.017009736,0.464601221,3.1264367816092,1.08925619834711,4.48669201520913,0.0109872802999702,12.0535925060226,22436,NA,1.9,NA,44,NA,22436,44
"b[14]",-0.23659416,0.001812423,0.099883029,-0.437675594,-0.304628633,-0.236922938,-0.170076383,-0.043973589,3037.134795,1.000015333,14,"b","Butternut","Forest",692400,28,45.91,-88.96,522.86,12.8,3.12847523228571,1.66958668905387,2.72,NA,0.1609,NA,13.16162,NA,86.54811,NA,94.0294117647059,1356.38098381543,2248.34661433064,25.0423493413723,0.333822180411831,0.138534053166543,146.828571428571,12.1980849853952,1,0,0,0,1,0,1,0,0,1,0,0,1,3,3249.666692,0,5043878.473,13130.25686,12.6,NA,0.133651551,0.505966587,0,0.00477327,0,0,0.355608592,3.699924206,4.85,9.6125,91.75,43.485,7.62,0.009,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319,1.00594530321046,0.371498172959805,2.29577464788732,0.00288802931690127,18.8648968129572,963600,310246.353725551,0.3,0,9.4,5.85662018573853,4818000,47
"b[15]",-0.071959851,0.003703072,0.202551157,-0.465592814,-0.210657668,-0.075323487,0.069144066,0.319739164,2991.886773,0.999353259,15,"b","Butternut","Price",2283300,6,45.94,-90.53,407.12,9.75,3.97333333333333,1.30050246699753,NA,NA,NA,NA,NA,NA,NA,NA,105.352941176471,1495.12864341707,2405.34355145523,27.0099273258317,0.332340647523211,0.136320228511388,146.742857142857,11.6223487986138,1,0,1,1,1,0,1,1,0,1,0,0,1,3,14.278415,0,3978960.367,20495.67077,9.6,4.2,0.147558386,0.410828025,0.011677282,0.009023355,0.017515924,0.041401274,0.361995754,1.651170193,1.8,9.95,116.9053165,69,7.303727642,NA,2,NA,27.83459917,705000204,0.041109306,0,0.492901936,0.084172392,0.005386633,0.012692067,0.090838226,0.272899438,2,0.677494199535963,3.40131578947368,0.0076452163213306,12.1619462201326,NA,NA,NA,NA,NA,NA,NA,NA
"b[16]",-0.062860192,0.003429106,0.194267535,-0.455725391,-0.193793602,-0.060190667,0.072205189,0.305131938,3209.509918,0.999851305,16,"b","Cedar","St Croix",2615100,6,45.2,-92.55,447.99,8.53,2.145,2.21877593881551,NA,NA,NA,NA,NA,NA,NA,NA,113.588235294118,1826.88971298553,2807.22475089535,29.0071590107139,0.350107649626861,0.143760512351521,133.6,12.2743156032999,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25.1006,8.561587,4533960.263,10730.28855,8.4,5.49,0.172190784,0.611156023,0,0.001616815,0.065481002,0.020210186,0.12934519,1.236553039,1.4,21,NA,50,9.2,0.068,NA,NA,NA,703000508,0.063864433,1.71e-05,0.343899224,0.002386976,0.032232726,0.297814952,0.210138173,0.049646413,2.41619318181818,0.241477272727273,5.29482071713147,0.00730948002294735,15.8694444444444,NA,NA,NA,NA,NA,NA,NA,NA
"b[17]",0.170422932,0.005998625,0.330059726,-0.475352215,-0.054480437,0.169782818,0.397516515,0.803386809,3027.482742,1.000054158,17,"b","Clear","Oneida",977500,6,45.87,-89.61,342.37,28.96,2.96,0.726636084983398,NA,NA,NA,NA,NA,NA,NA,NA,161,1339.2856835838,2244.56248535813,24.7639585080348,0.358829109855695,0.156760073541617,139.457142857143,12.0448740797336,1,0,1,1,0,0,1,0,1,1,1,1,1,3,391.01845,0,3534737.433,23624.62158,28.5,9.3,0.015990862,0.778983438,0.002284409,0.01027984,0,0,0.192461451,6.307379983,6.9,2.361,25.2,8.495,7.01,0.007,4,NA,2.709677419,707000108,0.075695592,0.001003713,0.574319289,0.002320271,0.0082752,0.001090614,0.018494822,0.318800498,1.17190082644628,0.439393939393939,2.30386740331492,0.00440138171908413,16.7722619047619,14813,14116.6797796082,1.83,0.0989949493661166,20.5,16.2634559672906,29626,41
"b[18]",-0.284448588,0.01403686,0.779473282,-1.800936446,-0.808332546,-0.271757298,0.231177956,1.20360761,3083.631812,1.000091785,18,"b","Crab","Vilas",2953500,5,46.2,-89.71,384.05,18.29,2.535,0.41,2.74,NA,0,NA,0.56315,NA,38.79299,NA,124.676470588235,1339.89327530269,2230.84854506002,25.289757927698,0.380624028868396,0.160699795129944,141.885714285714,12.2708919771941,1,0,1,1,1,0,1,0,0,1,1,0,1,3,2160.430309,3.971064,3678157.104,27509.39735,18,6.6,0.139570552,0.581288344,0,0,0,0,0.279141104,4.050327534,4.8,NA,51,21,6.9,NA,4,NA,7.727272727,402010103,0.028795382,0.000317119,0.677280914,0.002790644,0.003977574,0.000173157,0.000467121,0.28619809,2.93333333333333,0.885714285714286,5.11904761904762,0.00998207802145068,13.6430107526882,NA,NA,NA,NA,NA,NA,NA,NA
"b[19]",-0.165701334,0.004270165,0.246019551,-0.653957252,-0.329581125,-0.167207513,0.003486847,0.32584345,3319.326126,0.999846235,19,"b","Crescent","Oneida",1564200,5,45.58,-89.5,253.33,9.75,4.39197712425,0.86142732156261,NA,NA,NA,NA,NA,NA,NA,NA,49.8529411764706,1443.75982960266,2353.61044340254,26.0612224263121,0.314378631952245,0.139715046631361,144.971428571429,12.7059173668985,1,0,1,1,1,0,1,0,0,1,0,0,1,3,56.628124,12.736816,2493015.425,12128.41799,9.6,5.1,0.151006711,0.641778523,0.013422819,0,0,0.024328859,0.169463087,3.16259991,3.2,9.59,89.36666667,35.37,7.51,0.0205,4,NA,17.52287582,707000113,0.06977498,0.001433345,0.547770016,0.014505291,0.038051979,0.003140079,0.047935027,0.277389282,1.02492211838006,0.70404984423676,1.81481481481481,0.00400817254393759,14.4849557522124,NA,NA,NA,NA,NA,NA,NA,NA
"b[20]",0.620010397,0.009287437,0.485352177,-0.31715905,0.290576938,0.610144125,0.954432534,1.573792083,2731.0034,1.003158721,20,"b","Crystal","Bayfield",2897300,6,46.25,-91.14,44.92,8.84,1.822,0.788460525327679,2.5,NA,19.1471,NA,15.470535,NA,1.22284,NA,74.4411764705882,1459.38393402792,2359.43498910891,26.3580383556015,0.343549191967757,0.145544800850106,151.057142857143,11.841956458842,1,0,1,0,0,0,1,0,0,1,0,1,1,3,4076.196797,4.292922,474591.9668,4165.814797,8.7,5.1,0.060606061,0.920745921,0,0,0,0,0.018648019,3.292507092,2.45,2,31,10,6.7,0.016,4,NA,6.078431373,401030206,0.035310757,0.000762575,0.736022242,0.03437179,0.006556636,0.053328601,0.010796509,0.122850889,NA,NA,NA,NA,NA,3485.75,3417.12943613983,4.275,3.18472918785884,32.75,31.8577567739266,13943,131
"b[21]",0.218866707,0.010106413,0.582956594,-0.949657496,-0.167853479,0.219454151,0.611534736,1.353951022,3327.195603,0.999214731,21,"b","Dam","Oneida",1596900,5,45.87,-89.39,301.09,9.75,3.26666666666667,0.321455025366432,NA,NA,NA,NA,NA,NA,NA,NA,75.2058823529412,1456.68642403524,2366.21180844632,26.4899342239216,0.330562755015193,0.140349832138224,144.914285714286,12.4885157328677,1,0,1,1,1,0,1,0,0,1,1,0,1,2,0,0,2962663.334,11657.77366,9.6,5.4,0.067580803,0.606268364,0.022526934,0,0,0,0.303623898,2.042817237,2.1,4.5,46.5,14.47,6.765,0.018,1,NA,8.611111111,707000104,0.044235568,0.000430392,0.423438934,0.002080227,0.011044161,0.005254367,0.036534629,0.476981724,4.02873563218391,1.19411764705882,5.85882352941176,0.0122345120824148,11.9925,NA,NA,NA,NA,NA,NA,NA,NA
"b[22]",0.764231286,0.006536458,0.368415707,0.024006296,0.520823924,0.75946416,1.014872308,1.486102411,3176.810583,1.001329252,22,"b","Diamond","Bayfield",2897100,6,46.26,-91.15,138,25.3,1.6525,1.19251484966296,1.66666666666667,1.43949065065854,26.1194333333333,15.080316198387,21.6920016666667,15.2819012031065,15.0173333333333,25.7326003927573,180.441176470588,1516.01803925237,2428.48290937841,26.5805204947466,0.435905478849701,0.150774565163666,139.057142857143,12.7231675142882,1,0,1,0,1,1,1,0,1,1,0,0,1,3,3340.666974,3.213844,1304593.475,7696.030875,24.9,9.9,0.059796438,0.756997455,0,0,0,0,0.183206107,2.55228746,2.7,NA,68,33,7.8,NA,4,NA,6.868686869,401030206,0.035310757,0.000762575,0.736022242,0.03437179,0.006556636,0.053328601,0.010796509,0.122850889,0.69377990430622,0.267942583732057,2.28125,0.00225914059729485,17.6356742179072,4465,4975.99502054056,5.81,2.43650478258417,178.8,124.882878463516,44650,1788
"b[23]",-0.151811901,0.004106647,0.235944145,-0.612297315,-0.309636925,-0.152160876,0.003388707,0.303999086,3300.986115,1.000319428,23,"b","Enterprise","Langlade",1579700,5,45.46,-89.23,203.15,8.23,2.8740346535,1.94810827214047,NA,NA,NA,NA,NA,NA,NA,NA,74.9411764705882,1489.02829642744,2397.04238943138,26.8899816121146,0.322857029163963,0.147461358038502,146.771428571429,12.5676655941903,1,0,1,1,1,0,1,0,0,1,0,0,1,3,2920.71329,0,2058818.091,9508.222269,8.4,3,0.141649049,0.492600423,0.005285412,0,0,0,0.360465116,1.643931089,1.2,NA,44,30,7,NA,4,NA,14.66666667,707000107,0.043572099,0.000581666,0.427058619,0.005589842,0.014790746,0.001252392,0.03870447,0.468450165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b[24]",-0.013074892,0.000165309,0.009171149,-0.03153867,-0.019121345,-0.013072609,-0.006813421,0.004918218,3077.892062,1.000158922,24,"b","Escanaba","Vilas",2339900,57,46.07,-89.57,118.57,7.92,7.70754098360656,3.85323528814324,NA,NA,NA,NA,NA,NA,NA,NA,48.8529411764706,1385.01599822184,2267.3822685903,26.018314541227,0.326019946809276,0.139480194443655,151.742857142857,12.3843897404635,1,0,1,1,1,0,0,0,0,1,0,1,1,3,1015.115781,85.948698,1225683.831,8134.686853,7.8,4.2,0.006858711,0.543209877,0,0,0,0,0.449931413,3.210061761,2.7,NA,50,20,7.3,NA,4,NA,11.9047619,705000201,0.05795126,6.37e-05,0.530356801,0.016239447,0.004555621,0.000323022,0.003844393,0.386665721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b[25]",-0.011728464,0.004502362,0.248260099,-0.490754538,-0.181748122,-0.008654956,0.149653343,0.473390779,3040.416684,0.999948165,25,"b","Franklin","Forest",692900,8,45.92,-89,360.98,14.02,1.59159192833333,1.24341600730203,NA,NA,NA,NA,NA,NA,NA,NA,88.2352941176471,1360.05594288933,2249.05068019691,25.2012016626181,0.351014041021416,0.139076116581403,147.028571428571,11.723495047743,1,0,1,0,1,0,1,0,0,1,0,0,1,3,830.732886,24.410481,3396924.312,11202.04123,13.8,5.7,0.118473896,0.584337349,0.006024096,0,0,0,0.291164659,4.043382799,4.2,NA,42,22,7.1,NA,4,NA,7.368421053,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319,0.306163021868787,0.11482254697286,1.8,0.00115356893383413,16.4563636363636,513077.777777778,750711.262013362,3.52666666666667,3.29809035655484,219.111111111111,236.253806553696,4617700,1972
"b[26]",0.317680192,0.0063361,0.365625948,-0.398802479,0.074373847,0.315067728,0.567586069,1.06482868,3329.89016,0.999584923,26,"b","George","Oneida",1569600,5,45.6,-89.31,176.04,7.92,4.24,1.10130225944863,4.89,NA,0.8045,NA,3.26627,NA,55.76794,NA,85.2352941176471,1510.53323723611,2427.00454439737,27.3328845835656,0.326669980774964,0.150043874419318,144.628571428571,12.1366865191396,1,0,1,1,1,0,1,0,0,1,0,0,1,3,36.291486,13.065485,1791452.799,9779.287298,7.8,NA,0.189217759,0.432346723,0,0,0,0,0.378435518,0.91539305,1.8,7.15,63,22.11,6.945,0.02,1,NA,NA,707000107,0.043572099,0.000581666,0.427058619,0.005589842,0.014790746,0.001252392,0.03870447,0.468450165,1.17861482381531,0.326302729528536,2.85425101214575,0.00458986391096461,13.7655232826187,15493,NA,1.92,NA,30,NA,15493,30
"b[27]",-0.664615637,0.01107373,0.618501551,-1.884529156,-1.09375206,-0.676233019,-0.246218292,0.577205604,3119.562551,1.001557149,27,"b","Grindstone","Sawyer",2391200,8,45.92,-91.39,1258.98,18.29,1.516,0.465650083217001,1.89,NA,2.2526,NA,16.07391,NA,131.16568,NA,111.882352941176,1456.97085412864,2380.15220254315,25.5885261157619,0.336509626214659,0.149178888369279,138.828571428571,11.8408210026504,1,0,1,1,1,0,1,0,0,1,1,0,1,3,37.475787,6.98879,12854440.65,18418.28481,18,9,0.124679323,0.619805028,0,0,0.023601847,0,0.231913802,4.189797465,3.6,NA,110,52,7.6,NA,3,NA,12.22222222,705000104,0.059256596,0.00028875,0.704744339,0.009837141,0.00746232,0.073933737,0.02583821,0.118638907,1.72002897500905,0.480260775081492,3.09331259720062,0.00483363349076953,17.0917779497026,1000,NA,7,NA,NA,NA,1000,0
